Electoral_District,Electoral_District_Name,Polling_Station_Number,Polling_Station_Name,Electors_for_Polling_Station,Candidate_Family_Name,Candidate_Middle_Name,Candidate_First_Name,Political_Affiliation_Name_English,Incumbent_Indicator,Elected_Candidate_Indicator,Candidate_Poll_Votes_Count
35001,Ajax, 13A,Ajax,286,Brown,,Stephanie,NDP-New Democratic Party,N,N,10
35001,Ajax, 13A,Ajax,286,Hill,,Jeff,Green Party,N,N,1
35001,Ajax, 13A,Ajax,286,Holland,,Mark,Liberal,N,Y,92
35001,Ajax, 13A,Ajax,286,Kesic,,Bob,United Party,N,N,0
35001,Ajax, 13B,Ajax,276,Alexander,,Chris,Conservative,Y,N,45
35001,Ajax, 13B,Ajax,276,Brown,,Stephanie,NDP-New Democratic Party,N,N,11
35001,Ajax, 13B,Ajax,276,Hill,,Jeff,Green Party,N,N,0
35001,Ajax, 13B,Ajax,276,Holland,,Mark,Liberal,N,Y,84
35001,Ajax, 13B,Ajax,276,Kesic,,Bob,United Party,N,N,0
35001,Ajax,14,Ajax,481,Alexander,,Chris,Conservative,Y,N,60
35001,Ajax,14,Ajax,481,Brown,,Stephanie,NDP-New Democratic Party,N,N,19
35001,Ajax,14,Ajax,481,Hill,,Jeff,Green Party,N,N,1
35001,Ajax,14,Ajax,481,Holland,,Mark,Liberal,N,Y,143
35001,Ajax,14,Ajax,481,Kesic,,Bob,United Party,N,N,0
35001,Ajax,15,Ajax,429,Alexander,,Chris,Conservative,Y,N,78
35001,Ajax,15,Ajax,429,Brown,,Stephanie,NDP-New Democratic Party,N,N,18
35001,Ajax,15,Ajax,429,Hill,,Jeff,Green Party,N,N,3
35001,Ajax,15,Ajax,429,Holland,,Mark,Liberal,N,Y,139
35001,Ajax,15,Ajax,429,Kesic,,Bob,United Party,N,N,0
35001,Ajax,16,Ajax,501,Alexander,,Chris,Conservative,Y,N,74
35001,Ajax,16,Ajax,501,Brown,,Stephanie,NDP-New Democratic Party,N,N,11
35001,Ajax,16,Ajax,501,Hill,,Jeff,Green Party,N,N,2
35001,Ajax,16,Ajax,501,Holland,,Mark,Liberal,N,Y,123
35001,Ajax,16,Ajax,501,Kesic,,Bob,United Party,N,N,0
35001,Ajax,17,Ajax,552,Alexander,,Chris,Conservative,Y,N,69
35001,Ajax,17,Ajax,552,Brown,,Stephanie,NDP-New Democratic Party,N,N,12
35001,Ajax,17,Ajax,552,Hill,,Jeff,Green Party,N,N,1
35001,Ajax,17,Ajax,552,Holland,,Mark,Liberal,N,Y,178
35001,Ajax,17,Ajax,552,Kesic,,Bob,United Party,N,N,0
35001,Ajax,18,Ajax,499,Alexander,,Chris,Conservative,Y,N,47
35001,Ajax,18,Ajax,499,Brown,,Stephanie,NDP-New Democratic Party,N,N,16
35001,Ajax,18,Ajax,499,Hill,,Jeff,Green Party,N,N,3
35001,Ajax,18,Ajax,499,Holland,,Mark,Liberal,N,Y,133
35001,Ajax,18,Ajax,499,Kesic,,Bob,United Party,N,N,0
35001,Ajax,19,Ajax,436,Alexander,,Chris,Conservative,Y,N,63
35001,Ajax,19,Ajax,436,Brown,,Stephanie,NDP-New Democratic Party,N,N,7
35001,Ajax,19,Ajax,436,Hill,,Jeff,Green Party,N,N,2
35001,Ajax,19,Ajax,436,Holland,,Mark,Liberal,N,Y,107
35001,Ajax,19,Ajax,436,Kesic,,Bob,United Party,N,N,1
35001,Ajax,20,Ajax,430,Alexander,,Chris,Conservative,Y,N,45
